sige,time,eps,Tabs
20.64203,20.61127315,0.1013494,318.15
20.6506,20.6321412,0.1013904,318.15
20.67991,20.65298611,0.1014327,318.15
20.65189,20.67383102,0.1014724,318.15
20.64806,20.69469907,0.1015148,318.15
20.65604,20.71554398,0.1015584,318.15
20.6552,20.73640046,0.1015985,318.15
20.67561,20.75726852,0.1016401,318.15
20.65002,20.778125,0.1016783,318.15
20.64079,20.79899306,0.1017236,318.15
20.6606,20.81983796,0.1017654,318.15
20.64203,20.84070602,0.1018067,318.15
20.64709,20.8615625,0.1018486,318.15
20.67999,20.88241898,0.1018864,318.15
20.65486,20.90326389,0.1019285,318.15
20.66285,20.92413194,0.1019709,318.15
20.64955,20.94498843,0.1020136,318.15
20.64641,20.96585648,0.1020517,318.15
20.66027,20.98670139,0.1020954,318.15
20.65654,21.00755787,0.1021337,318.15
20.65337,21.02841435,0.1021742,318.15
20.64832,21.04928241,0.1022177,318.15
20.64805,21.07013889,0.1022581,318.15
20.65901,21.0909838,0.1023001,318.15
20.64933,21.1118287,0.1023408,318.15
20.65498,21.13269676,0.1023819,318.15
20.64761,21.15355324,0.1024234,318.15
20.6497,21.17439815,0.1024658,318.15
20.64949,21.19521991,0.1025046,318.15
20.65453,21.21607639,0.1025464,318.15
20.64191,21.2369213,0.1025854,318.15
20.65285,21.25778935,0.1026273,318.15
20.65791,21.27865741,0.1026686,318.15
20.65996,21.29950231,0.1027123,318.15
20.64978,21.32034722,0.1027466,318.15
20.65297,21.3412037,0.1027924,318.15
20.6575,21.36203704,0.102832,318.15
20.64565,21.38290509,0.1028752,318.15
20.64458,21.40375,0.1029133,318.15
20.64909,21.42460648,0.102953,318.15
20.64234,21.44543981,0.1029931,318.15
20.64208,21.4662963,0.1030355,318.15
20.64658,21.48716435,0.103074,318.15
20.64571,21.50802083,0.1031165,318.15
20.66523,21.52886574,0.1031564,318.15
20.64404,21.5497338,0.1031974,318.15
20.64373,21.57060185,0.1032403,318.15
20.66651,21.59145833,0.1032798,318.15
20.65094,21.61232639,0.1033194,318.15
20.65069,21.63319444,0.1033593,318.15
20.65813,21.6540162,0.1034002,318.15
20.65727,21.67488426,0.1034415,318.15
20.65115,21.69572917,0.1034797,318.15
20.65564,21.71659722,0.10352,318.15
20.64887,21.73744213,0.103562,318.15
20.64798,21.75829861,0.1036058,318.15
20.65065,21.77915509,0.1036481,318.15
20.64394,21.80002315,0.1036864,318.15
20.64252,21.82085648,0.1037268,318.15
20.65492,21.84170139,0.1037686,318.15
20.68327,21.8625463,0.1038103,318.15
20.6547,21.88341435,0.103852,318.15
20.65136,21.90427083,0.103898,318.15
20.65652,21.92513889,0.1039345,318.15
20.64088,21.9459838,0.1039777,318.15
